Run index is 0
Evaluate CPU time is 5.180000000137852e-05
Evaluate CPU time is 0.0001638000000028228
Evaluate CPU time is 0.00010419999999911056
Evaluate CPU time is 4.089999999834504e-05
Evaluate CPU time is 5.72000000005346e-05
Evaluate CPU time is 3.279999999961092e-05
Evaluate CPU time is 3.870000000105733e-05
Evaluate CPU time is 0.00012510000000176547
Evaluate CPU time is 4.889999999946326e-05
Evaluate CPU time is 0.00017070000000174446
Evaluate CPU time is 4.410000000021341e-05
Evaluate CPU time is 7.619999999874949e-05
Evaluate CPU time is 5.299999999763827e-05
Evaluate CPU time is 5.1400000000256796e-05
Evaluate CPU time is 5.5399999997263194e-05
Evaluate CPU time is 4.549999999881038e-05
Evaluate CPU time is 9.890000000112309e-05
Evaluate CPU time is 4.4800000001288254e-05
Evaluate CPU time is 5.579999999838492e-05
Evaluate CPU time is 6.060000000118748e-05
Evaluate CPU time is 4.709999999974457e-05
Evaluate CPU time is 4.4800000001288254e-05
Evaluate CPU time is 4.8700000000678756e-05
Evaluate CPU time is 4.8599999999510146e-05
Evaluate CPU time is 4.9999999998107114e-05
Evaluate CPU time is 7.959999999940237e-05
Evaluate CPU time is 5.249999999890065e-05
Evaluate CPU time is 4.020000000082291e-05
Evaluate CPU time is 0.0001718999999980042
Evaluate CPU time is 8.889999999794895e-05
Evaluate CPU time is 0.0001238000000007844
Evaluate CPU time is 5.3600000001097214e-05
Evaluate CPU time is 5.550000000198452e-05
Evaluate CPU time is 5.6400000001843864e-05
Evaluate CPU time is 7.540000000005875e-05
Evaluate CPU time is 4.290000000040095e-05
Evaluate CPU time is 4.450000000133514e-05
Evaluate CPU time is 9.769999999775791e-05
Evaluate CPU time is 3.5699999997973464e-05
Evaluate CPU time is 4.5500000002363095e-05
Evaluate CPU time is 5.309999999880688e-05
Evaluate CPU time is 4.699999999857596e-05
Evaluate CPU time is 8.280000000127075e-05
Evaluate CPU time is 0.00015090000000128612
Evaluate CPU time is 4.069999999956053e-05
Evaluate CPU time is 4.18000000017571e-05
Evaluate CPU time is 8.02999999969245e-05
Evaluate CPU time is 5.249999999890065e-05
Evaluate CPU time is 5.1400000000256796e-05
Evaluate CPU time is 5.639999999829115e-05
Evaluate CPU time is 0.0001010000000007949
Evaluate CPU time is 5.730000000170321e-05
Evaluate CPU time is 5.689999999702877e-05
Evaluate CPU time is 9.659999999911406e-05
Evaluate CPU time is 3.219999999970469e-05
Evaluate CPU time is 5.459999999857246e-05
Evaluate CPU time is 4.619999999988522e-05
Evaluate CPU time is 4.8599999999510146e-05
Evaluate CPU time is 4.3899999997876193e-05
