 Run index is 0
Evaluate CPU time is 7.290000000281793e-05
Evaluate CPU time is 5.799999999922534e-05
Evaluate CPU time is 4.819999999838842e-05
Evaluate CPU time is 6.060000000118748e-05
Evaluate CPU time is 5.450000000095656e-05
Evaluate CPU time is 3.370000000302298e-05
Evaluate CPU time is 4.039999999960742e-05
Evaluate CPU time is 4.8800000001847366e-05
Evaluate CPU time is 4.8100000000772525e-05
Evaluate CPU time is 0.00010699999999985721
Evaluate CPU time is 4.8100000000772525e-05
Evaluate CPU time is 3.9099999998626345e-05
Evaluate CPU time is 0.00010909999999952902
Evaluate CPU time is 0.00010969999999943525
Evaluate CPU time is 4.619999999988522e-05
Evaluate CPU time is 8.79999999980896e-05
Evaluate CPU time is 5.589999999955353e-05
Evaluate CPU time is 4.709999999974457e-05
Evaluate CPU time is 4.730000000208179e-05
Evaluate CPU time is 5.7600000001656326e-05
Evaluate CPU time is 5.540000000081591e-05
Evaluate CPU time is 9.16999999986956e-05
Evaluate CPU time is 5.6900000000581485e-05
Evaluate CPU time is 4.8200000001941135e-05
Evaluate CPU time is 0.0001087999999995759
Evaluate CPU time is 6.540000000043733e-05
Evaluate CPU time is 0.00010909999999952902
Evaluate CPU time is 3.939999999857946e-05
Evaluate CPU time is 5.7100000002918705e-05
Evaluate CPU time is 4.8700000000678756e-05
Evaluate CPU time is 9.14999999999111e-05
Evaluate CPU time is 0.00010939999999948213
Evaluate CPU time is 9.329999999962979e-05
Evaluate CPU time is 4.7399999999697684e-05
Evaluate CPU time is 4.630000000105383e-05
Evaluate CPU time is 4.780000000081941e-05
Evaluate CPU time is 9.060000000005175e-05
Evaluate CPU time is 4.829999999955703e-05
Evaluate CPU time is 3.389999999825477e-05
Evaluate CPU time is 4.359999999792308e-05
Evaluate CPU time is 5.6300000000675254e-05
Evaluate CPU time is 4.5300000000025875e-05
Evaluate CPU time is 4.809999999721981e-05
Evaluate CPU time is 0.00010939999999948213
Evaluate CPU time is 4.619999999988522e-05
Evaluate CPU time is 7.619999999874949e-05
Evaluate CPU time is 0.00010979999999705115
Evaluate CPU time is 0.00010840000000200689
Evaluate CPU time is 5.6199999999506645e-05
Evaluate CPU time is 0.00010909999999952902
Evaluate CPU time is 9.219999999743322e-05
Evaluate CPU time is 4.7399999999697684e-05
Evaluate CPU time is 4.720000000091318e-05
Evaluate CPU time is 4.290000000040095e-05
Evaluate CPU time is 3.500000000045134e-05
Evaluate CPU time is 5.709999999936599e-05
Evaluate CPU time is 5.7499999996935e-05
Evaluate CPU time is 4.889999999946326e-05
Evaluate CPU time is 9.010000000131413e-05
Evaluate CPU time is 4.690000000096006e-05
Evaluate CPU time is 9.229999999860183e-05
Evaluate CPU time is 7.61000000011336e-05
Evaluate CPU time is 5.540000000081591e-05
Evaluate CPU time is 5.33000000011441e-05
Evaluate CPU time is 0.00010950000000065074
Evaluate CPU time is 0.00010460000000023228
Evaluate CPU time is 5.719999999698189e-05
Evaluate CPU time is 5.610000000189075e-05
Evaluate CPU time is 4.790000000198802e-05
Evaluate CPU time is 9.209999999981733e-05
Evaluate CPU time is 5.6500000003012474e-05
Evaluate CPU time is 5.319999999997549e-05
Evaluate CPU time is 5.369999999871311e-05
Evaluate CPU time is 4.879999999829465e-05
Evaluate CPU time is 3.939999999857946e-05
Evaluate CPU time is 0.00010989999999821976
Evaluate CPU time is 5.639999999829115e-05
Evaluate CPU time is 6.790000000123086e-05
Evaluate CPU time is 5.499999999969418e-05
Evaluate CPU time is 7.6399999997534e-05
Evaluate CPU time is 9.209999999981733e-05
Evaluate CPU time is 8.620000000192363e-05
Evaluate CPU time is 5.7500000000487717e-05
Evaluate CPU time is 5.469999999974107e-05
Evaluate CPU time is 0.00010999999999938836
Evaluate CPU time is 0.00012179999999872848
Evaluate CPU time is 0.00010890000000074451
Evaluate CPU time is 9.179999999986421e-05
Evaluate CPU time is 5.7000000001750095e-05
Evaluate CPU time is 5.3700000002265824e-05
Evaluate CPU time is 5.270000000123787e-05
Evaluate CPU time is 5.7499999996935e-05
Evaluate CPU time is 4.7899999998435305e-05
Evaluate CPU time is 0.0001508000000001175
Evaluate CPU time is 4.629999999750112e-05
Evaluate CPU time is 3.960000000091668e-05
Evaluate CPU time is 0.00013190000000307123
Evaluate CPU time is 5.3899999997497616e-05
Evaluate CPU time is 8.030000000047721e-05
Evaluate CPU time is 0.00011199999999789156
Evaluate CPU time is 5.569999999721631e-05
Evaluate CPU time is 0.00010980000000060386
Evaluate CPU time is 7.169999999945276e-05
Evaluate CPU time is 3.900000000101045e-05
Evaluate CPU time is 5.3499999999928605e-05
Evaluate CPU time is 3.4600000002882325e-05
Evaluate CPU time is 4.0000000002038405e-05
Evaluate CPU time is 4.889999999946326e-05
Evaluate CPU time is 9.190000000103282e-05
Evaluate CPU time is 0.00010960000000181935
Evaluate CPU time is 0.00011680000000069413
Evaluate CPU time is 3.939999999857946e-05
Evaluate CPU time is 5.610000000189075e-05
Evaluate CPU time is 0.00010980000000060386
Evaluate CPU time is 4.630000000105383e-05
Evaluate CPU time is 4.3200000000354066e-05
Evaluate CPU time is 0.00012070000000008463
Evaluate CPU time is 4.809999999721981e-05
Evaluate CPU time is 4.669999999862284e-05
Evaluate CPU time is 0.00010890000000074451
Evaluate CPU time is 9.200000000220143e-05
Evaluate CPU time is 4.699999999857596e-05
Evaluate CPU time is 0.0001086000000007914
Evaluate CPU time is 9.219999999743322e-05
Evaluate CPU time is 0.00010839999999845418
Evaluate CPU time is 9.869999999878587e-05
Evaluate CPU time is 7.320000000277105e-05
Evaluate CPU time is 9.499999999817987e-05
Evaluate CPU time is 5.5399999997263194e-05
Evaluate CPU time is 9.239999999977044e-05
Evaluate CPU time is 9.090000000000487e-05
Evaluate CPU time is 5.6400000001843864e-05
Evaluate CPU time is 5.4900000002078286e-05
Evaluate CPU time is 0.00010160000000070113
Evaluate CPU time is 8.830000000159544e-05
Evaluate CPU time is 4.720000000091318e-05
Evaluate CPU time is 4.630000000105383e-05
Evaluate CPU time is 4.900000000063187e-05
Evaluate CPU time is 3.42000000017606e-05
Evaluate CPU time is 4.279999999923234e-05
Evaluate CPU time is 5.660000000062837e-05
Evaluate CPU time is 4.580000000231621e-05
Evaluate CPU time is 9.049999999888314e-05
Evaluate CPU time is 5.6300000000675254e-05
Evaluate CPU time is 4.619999999988522e-05
Evaluate CPU time is 3.960000000091668e-05
Evaluate CPU time is 0.00012339999999966267
Evaluate CPU time is 5.469999999974107e-05
Evaluate CPU time is 0.00010980000000060386
Evaluate CPU time is 5.579999999838492e-05
Evaluate CPU time is 6.039999999885026e-05
Evaluate CPU time is 4.76999999996508e-05
Evaluate CPU time is 4.619999999988522e-05
Evaluate CPU time is 4.369999999909169e-05
Evaluate CPU time is 6.179999999744723e-05
Evaluate CPU time is 5.579999999838492e-05
Evaluate CPU time is 0.00014469999999988659
Evaluate CPU time is 4.8599999999510146e-05
Evaluate CPU time is 4.699999999857596e-05
Evaluate CPU time is 4.840000000072564e-05
Evaluate CPU time is 5.9499999998990916e-05
Evaluate CPU time is 7.799999999846818e-05
Evaluate CPU time is 0.00010910000000308173
Evaluate CPU time is 4.7500000000866294e-05
Evaluate CPU time is 7.529999999889014e-05
Evaluate CPU time is 5.0200000000444334e-05
Evaluate CPU time is 6.600000000034356e-05
Evaluate CPU time is 5.499999999969418e-05
Evaluate CPU time is 4.76999999996508e-05
Evaluate CPU time is 4.74000000032504e-05
Evaluate CPU time is 5.52999999996473e-05
Evaluate CPU time is 5.270000000123787e-05
Evaluate CPU time is 0.00010699999999985721
Evaluate CPU time is 9.680000000145128e-05
Evaluate CPU time is 6.550000000160594e-05
Evaluate CPU time is 0.00010929999999831352
Evaluate CPU time is 5.469999999974107e-05
Evaluate CPU time is 5.240000000128475e-05
Evaluate CPU time is 5.600000000072214e-05
Evaluate CPU time is 4.039999999960742e-05
Evaluate CPU time is 9.16999999986956e-05
Evaluate CPU time is 3.870000000105733e-05
Evaluate CPU time is 5.699999999819738e-05
Evaluate CPU time is 5.4800000000909677e-05
Evaluate CPU time is 5.840000000034706e-05
Evaluate CPU time is 5.6300000000675254e-05
Evaluate CPU time is 6.079999999997199e-05
Evaluate CPU time is 7.389999999674046e-05
Evaluate CPU time is 6.09000000011406e-05
Evaluate CPU time is 5.240000000128475e-05
Evaluate CPU time is 8.419999999986771e-05
Evaluate CPU time is 5.570000000076902e-05
Evaluate CPU time is 9.529999999813299e-05
Evaluate CPU time is 5.689999999702877e-05
Evaluate CPU time is 5.230000000011614e-05
Evaluate CPU time is 9.009999999776142e-05
Evaluate CPU time is 7.480000000015252e-05
