 Run index is 0
Evaluate CPU time is 4.1699999997035775e-05
Evaluate CPU time is 0.00041430000000275413
Evaluate CPU time is 0.0001487999999980616
Evaluate CPU time is 0.00019660000000243372
Evaluate CPU time is 7.199999999585316e-05
Evaluate CPU time is 0.0001012999999971953
Evaluate CPU time is 0.00010040000000088867
Evaluate CPU time is 5.139999999670408e-05
Evaluate CPU time is 9.839999999883275e-05
Evaluate CPU time is 4.080000000072914e-05
Evaluate CPU time is 9.509999999579577e-05
Evaluate CPU time is 9.829999999766414e-05
Evaluate CPU time is 9.690000000261989e-05
Evaluate CPU time is 0.00010120000000313212
Evaluate CPU time is 0.00010819999999966967
Evaluate CPU time is 9.720000000612572e-05
Evaluate CPU time is 0.00045349999999899637
Evaluate CPU time is 3.900000000101045e-05
Evaluate CPU time is 8.619999999837091e-05
Evaluate CPU time is 0.00013239999999825613
Evaluate CPU time is 4.7399999999697684e-05
Evaluate CPU time is 3.850000000227283e-05
Evaluate CPU time is 9.779999999892652e-05
Evaluate CPU time is 0.00010010000000448827
Evaluate CPU time is 5.629999999712254e-05
Evaluate CPU time is 0.0001007000000043945
Evaluate CPU time is 0.00010810000000560649
Evaluate CPU time is 9.679999999434585e-05
Evaluate CPU time is 5.140000000380951e-05
Evaluate CPU time is 3.979999999614847e-05
Evaluate CPU time is 5.2900000000022374e-05
Evaluate CPU time is 4.7999999999603915e-05
Evaluate CPU time is 4.549999999881038e-05
Evaluate CPU time is 9.839999999883275e-05
Evaluate CPU time is 0.00010189999999710153
Evaluate CPU time is 3.509999999806723e-05
Evaluate CPU time is 0.00010900000000191312
Evaluate CPU time is 0.00010069999999728907
Evaluate CPU time is 9.529999999813299e-05
Evaluate CPU time is 9.92000000010762e-05
Evaluate CPU time is 9.860000000116997e-05
Evaluate CPU time is 4.94000000017536e-05
Evaluate CPU time is 4.619999999988522e-05
Evaluate CPU time is 9.839999999883275e-05
Evaluate CPU time is 8.359999999640877e-05
Evaluate CPU time is 5.32000000035282e-05
Evaluate CPU time is 9.210000000337004e-05
Evaluate CPU time is 0.00020349999999780266
Evaluate CPU time is 9.289999999850806e-05
Evaluate CPU time is 6.770000000244636e-05
Evaluate CPU time is 9.989999999504562e-05
Evaluate CPU time is 5.170000000020991e-05
Evaluate CPU time is 0.00011479999999863821
Evaluate CPU time is 4.9000000004184585e-05
Evaluate CPU time is 9.509999999579577e-05
Evaluate CPU time is 4.619999999988522e-05
Evaluate CPU time is 0.00010370000000392565
Evaluate CPU time is 9.399999999715192e-05
Evaluate CPU time is 3.439999999699239e-05
Evaluate CPU time is 4.710000000329728e-05
Evaluate CPU time is 5.88000000050215e-05
Evaluate CPU time is 5.549999999487909e-05
Evaluate CPU time is 0.00010039999999378324
Evaluate CPU time is 5.540000000081591e-05
Evaluate CPU time is 7.2699999996928e-05
Evaluate CPU time is 4.8700000000678756e-05
Evaluate CPU time is 5.149999999787269e-05
Evaluate CPU time is 8.129999999795245e-05
Evaluate CPU time is 9.980000000098244e-05
Evaluate CPU time is 4.9699999998154e-05
Evaluate CPU time is 9.299999999967667e-05
Evaluate CPU time is 9.519999999696438e-05
Evaluate CPU time is 5.019999999689162e-05
Evaluate CPU time is 4.8900000003015975e-05
Evaluate CPU time is 4.909999999824777e-05
Evaluate CPU time is 4.490000000600958e-05
Evaluate CPU time is 6.530000000282143e-05
Evaluate CPU time is 8.309999999767115e-05
Evaluate CPU time is 0.00017050000000295995
Evaluate CPU time is 0.0001372999999986746
Evaluate CPU time is 0.00014269999999783067
Evaluate CPU time is 6.88999999951534e-05
Evaluate CPU time is 5.2799999998853764e-05
Evaluate CPU time is 4.7099999996191855e-05
Evaluate CPU time is 5.8299999999178453e-05
Evaluate CPU time is 0.00016529999999903566
Evaluate CPU time is 5.1899999995441704e-05
Evaluate CPU time is 4.480000000484097e-05
Evaluate CPU time is 3.850000000227283e-05
Evaluate CPU time is 4.679999999979145e-05
Evaluate CPU time is 4.679999999979145e-05
Evaluate CPU time is 9.889999999757038e-05
Evaluate CPU time is 0.00010350000000158843
