Run index is 0
Evaluate CPU time is 3.9300000000075386e-05
Evaluate CPU time is 3.3800000000638875e-05
Evaluate CPU time is 3.849999999960829e-05
Evaluate CPU time is 8.409999999958728e-05
Evaluate CPU time is 7.559999999973144e-05
Evaluate CPU time is 9.010000000042595e-05
Evaluate CPU time is 4.679999999979145e-05
Evaluate CPU time is 4.060000000016828e-05
Evaluate CPU time is 4.259999999955966e-05
Evaluate CPU time is 3.8700000000169155e-05
Evaluate CPU time is 4.649999999983834e-05
Evaluate CPU time is 3.360000000007801e-05
Evaluate CPU time is 4.709999999974457e-05
Evaluate CPU time is 4.619999999988522e-05
Evaluate CPU time is 4.329999999974632e-05
Evaluate CPU time is 3.409999999970381e-05
Evaluate CPU time is 3.470000000049822e-05
Evaluate CPU time is 7.190000000001362e-05
Evaluate CPU time is 4.340000000002675e-05
Evaluate CPU time is 7.040000000024804e-05
Evaluate CPU time is 8.799999999986596e-05
Evaluate CPU time is 7.260000000020028e-05
Evaluate CPU time is 4.4800000000400075e-05
Evaluate CPU time is 4.950000000025767e-05
Evaluate CPU time is 3.9800000000589364e-05
Evaluate CPU time is 4.230000000049472e-05
Evaluate CPU time is 4.00999999996543e-05
Evaluate CPU time is 8.510000000061524e-05
Evaluate CPU time is 3.989999999998162e-05
Evaluate CPU time is 3.829999999993561e-05
Evaluate CPU time is 4.449999999955878e-05
Evaluate CPU time is 4.47999999995119e-05
Evaluate CPU time is 3.390000000003113e-05
Evaluate CPU time is 3.370000000035844e-05
Evaluate CPU time is 3.409999999970381e-05
Evaluate CPU time is 3.069999999993911e-05
Evaluate CPU time is 0.00017760000000066611
Evaluate CPU time is 0.0003376999999993302
Evaluate CPU time is 8.72999999996793e-05
Evaluate CPU time is 8.68000000000535e-05
Evaluate CPU time is 8.289999999977482e-05
Evaluate CPU time is 1.529999999938525e-05
Evaluate CPU time is 2.370000000073702e-05
Evaluate CPU time is 4.269999999984009e-05
Evaluate CPU time is 7.45000000001994e-05
Evaluate CPU time is 8.740000000084791e-05
Evaluate CPU time is 4.890000000035144e-05
Evaluate CPU time is 4.3100000000073635e-05
Evaluate CPU time is 3.3199999999844465e-05
Evaluate CPU time is 9.14999999999111e-05
Evaluate CPU time is 4.489999999979233e-05
Evaluate CPU time is 3.970000000030893e-05
Evaluate CPU time is 7.00000000000145e-05
Evaluate CPU time is 4.289999999951277e-05
Evaluate CPU time is 4.509999999946501e-05
Evaluate CPU time is 4.4700000000119644e-05
Evaluate CPU time is 3.989999999998162e-05
Evaluate CPU time is 4.619999999988522e-05
Evaluate CPU time is 2.8400000000594616e-05
Evaluate CPU time is 0.0003394999999999371
Evaluate CPU time is 0.00033839999999951687
Evaluate CPU time is 0.00020769999999981081
Evaluate CPU time is 9.399999999981645e-05
Evaluate CPU time is 0.0001550000000003493
Evaluate CPU time is 0.00016400000000071913
Evaluate CPU time is 0.00021360000000036905
Evaluate CPU time is 9.579999999953515e-05
Evaluate CPU time is 0.00017709999999926396
Evaluate CPU time is 5.77000000001604e-05
Evaluate CPU time is 0.00010199999999915832
Evaluate CPU time is 6.0200000000065756e-05
Evaluate CPU time is 0.00012100000000003774
Evaluate CPU time is 3.900000000012227e-05
Evaluate CPU time is 8.81000000001464e-05
Evaluate CPU time is 4.510000000035319e-05
Evaluate CPU time is 3.9300000000075386e-05
Evaluate CPU time is 3.0399999999985994e-05
Evaluate CPU time is 3.680000000017003e-05
Evaluate CPU time is 9.060000000005175e-05
Evaluate CPU time is 8.440000000042858e-05
Evaluate CPU time is 4.580000000053985e-05
Evaluate CPU time is 4.070000000044871e-05
Evaluate CPU time is 4.610000000049297e-05
Evaluate CPU time is 4.7200000000025e-05
Evaluate CPU time is 2.8399999999706438e-05
Evaluate CPU time is 3.4300000000264674e-05
Evaluate CPU time is 8.77999999993051e-05
Evaluate CPU time is 8.76000000005206e-05
Evaluate CPU time is 7.45000000001994e-05
Evaluate CPU time is 4.4700000000119644e-05
Evaluate CPU time is 8.720000000028705e-05
Evaluate CPU time is 4.599999999932436e-05
Evaluate CPU time is 6.949999999950052e-05
Evaluate CPU time is 9.090000000000487e-05
Evaluate CPU time is 3.689999999956228e-05
Evaluate CPU time is 8.639999999981995e-05
Evaluate CPU time is 0.00013440000000031205
Evaluate CPU time is 4.280000000012052e-05
Evaluate CPU time is 3.96000000000285e-05
Evaluate CPU time is 4.759999999937037e-05
Evaluate CPU time is 3.9300000000075386e-05
Evaluate CPU time is 3.419999999998424e-05
Evaluate CPU time is 3.9199999999794954e-05
Evaluate CPU time is 6.649999999996936e-05
Evaluate CPU time is 8.189999999963504e-05
Evaluate CPU time is 4.610000000049297e-05
Evaluate CPU time is 4.600000000021254e-05
Evaluate CPU time is 8.68000000000535e-05
Evaluate CPU time is 4.340000000002675e-05
Evaluate CPU time is 3.900000000012227e-05
Evaluate CPU time is 0.000155200000000022
Evaluate CPU time is 7.249999999991985e-05
Evaluate CPU time is 0.00016040000000039356
Evaluate CPU time is 4.660000000011877e-05
Evaluate CPU time is 4.440000000016653e-05
Evaluate CPU time is 3.419999999998424e-05
Evaluate CPU time is 3.499999999956316e-05
Evaluate CPU time is 3.989999999998162e-05
Evaluate CPU time is 9.010000000042595e-05
Evaluate CPU time is 6.979999999945363e-05
Evaluate CPU time is 4.259999999955966e-05
Evaluate CPU time is 3.659999999960917e-05
Evaluate CPU time is 4.5199999999745444e-05
Evaluate CPU time is 4.730000000030543e-05
Evaluate CPU time is 7.380000000001274e-05
Evaluate CPU time is 8.769999999991285e-05
Evaluate CPU time is 4.000000000026205e-05
Evaluate CPU time is 4.00999999996543e-05
Evaluate CPU time is 4.000000000026205e-05
Evaluate CPU time is 3.850000000049647e-05
Evaluate CPU time is 8.949999999963154e-05
Evaluate CPU time is 4.619999999988522e-05
Evaluate CPU time is 0.00012129999999999086
Evaluate CPU time is 9.779999999892652e-05
Evaluate CPU time is 3.4400000000545106e-05
Evaluate CPU time is 6.0700000000579735e-05
Evaluate CPU time is 4.67000000003992e-05
Evaluate CPU time is 4.269999999984009e-05
Evaluate CPU time is 4.659999999923059e-05
Evaluate CPU time is 8.929999999907068e-05
Evaluate CPU time is 4.329999999974632e-05
Evaluate CPU time is 1.5499999999946112e-05
Evaluate CPU time is 5.260000000006926e-05
Evaluate CPU time is 4.239999999988697e-05
Evaluate CPU time is 4.449999999955878e-05
Evaluate CPU time is 4.339999999913857e-05
Evaluate CPU time is 4.639999999866973e-05
Evaluate CPU time is 8.769999999991285e-05
Evaluate CPU time is 7.079999999959341e-05
Evaluate CPU time is 0.00012519999999938136
Evaluate CPU time is 0.00013080000000087466
Evaluate CPU time is 8.579999999902554e-05
Evaluate CPU time is 6.95000000003887e-05
Evaluate CPU time is 8.769999999991285e-05
Evaluate CPU time is 9.299999999967667e-05
Evaluate CPU time is 8.940000000023929e-05
Evaluate CPU time is 3.9799999999701186e-05
Evaluate CPU time is 4.6299999999277475e-05
Evaluate CPU time is 5.72000000005346e-05
Evaluate CPU time is 8.739999999995973e-05
Evaluate CPU time is 4.39999999990448e-05
Evaluate CPU time is 8.790000000047371e-05
Evaluate CPU time is 4.000000000026205e-05
Evaluate CPU time is 2.86000000002673e-05
Evaluate CPU time is 3.5900000000310683e-05
Evaluate CPU time is 4.47999999995119e-05
Evaluate CPU time is 8.40999999986991e-05
Evaluate CPU time is 7.410000000085404e-05
Evaluate CPU time is 4.500000000007276e-05
Evaluate CPU time is 3.439999999876875e-05
Evaluate CPU time is 4.7000000000352316e-05
Evaluate CPU time is 4.7000000000352316e-05
Evaluate CPU time is 3.9300000000963564e-05
Evaluate CPU time is 8.769999999991285e-05
Evaluate CPU time is 4.5199999998857265e-05
Evaluate CPU time is 3.970000000030893e-05
Evaluate CPU time is 3.090000000049997e-05
Evaluate CPU time is 3.6399999999048305e-05
Evaluate CPU time is 8.95000000014079e-05
Evaluate CPU time is 8.429999999925997e-05
Evaluate CPU time is 8.990000000075327e-05
Evaluate CPU time is 3.9799999999701186e-05
Evaluate CPU time is 4.080000000072914e-05
Evaluate CPU time is 9.16000000010797e-05
Evaluate CPU time is 2.8699999999659553e-05
Evaluate CPU time is 3.410000000059199e-05
Evaluate CPU time is 4.329999999974632e-05
Evaluate CPU time is 4.339999999913857e-05
Evaluate CPU time is 3.840000000110422e-05
Evaluate CPU time is 4.509999999946501e-05
Evaluate CPU time is 4.440000000016653e-05
Evaluate CPU time is 4.440000000016653e-05
Evaluate CPU time is 7.030000000085579e-05
Evaluate CPU time is 9.119999999995798e-05
Evaluate CPU time is 7.289999999926522e-05
Evaluate CPU time is 3.9799999999701186e-05
Evaluate CPU time is 4.619999999988522e-05
Evaluate CPU time is 8.87000000009408e-05
Evaluate CPU time is 8.48999999991662e-05
Evaluate CPU time is 0.00010460000000023228
Crossover CPU time is 1.759999999961792e-05
Crossover CPU time is 1.5700000000506975e-05
Evaluate CPU time is 3.929999999918721e-05
Evaluate CPU time is 3.4400000000545106e-05
Evaluate CPU time is 8.619999999837091e-05
Evaluate CPU time is 4.029999999843881e-05
Evaluate CPU time is 7.540000000005875e-05
Evaluate CPU time is 9.05000000006595e-05
Evaluate CPU time is 4.709999999974457e-05
Evaluate CPU time is 3.9799999999701186e-05
Evaluate CPU time is 4.3200000000354066e-05
Evaluate CPU time is 8.370000000113009e-05
Evaluate CPU time is 4.7000000000352316e-05
