Run index is 0
Evaluate CPU time is 7.190000000178998e-05
Evaluate CPU time is 0.00021799999999672082
Evaluate CPU time is 0.00011760000000293758
Evaluate CPU time is 6.359999999716592e-05
Evaluate CPU time is 6.4899999998147e-05
Evaluate CPU time is 7.420000000024629e-05
Evaluate CPU time is 4.679999999979145e-05
Evaluate CPU time is 3.900000000101045e-05
Evaluate CPU time is 0.000126099999995688
Evaluate CPU time is 3.7800000001197986e-05
Evaluate CPU time is 4.660000000455966e-05
Evaluate CPU time is 9.48000000065008e-05
Evaluate CPU time is 9.160000000463242e-05
Evaluate CPU time is 9.130000000112659e-05
Evaluate CPU time is 4.339999999558586e-05
Evaluate CPU time is 0.0001127999999965823
Evaluate CPU time is 3.470000000049822e-05
Evaluate CPU time is 0.00011090000000280043
Evaluate CPU time is 4.2299999996942006e-05
Evaluate CPU time is 7.099999999837792e-05
Evaluate CPU time is 4.2800000002785055e-05
Evaluate CPU time is 7.289999999926522e-05
Evaluate CPU time is 9.030000000365135e-05
Evaluate CPU time is 0.00015199999999992997
Evaluate CPU time is 8.470000000215805e-05
Evaluate CPU time is 8.780000000285781e-05
Evaluate CPU time is 3.920000000334767e-05
Evaluate CPU time is 3.939999999857946e-05
Evaluate CPU time is 8.79999999980896e-05
Evaluate CPU time is 0.00011969999999905667
Evaluate CPU time is 4.419999999782931e-05
Evaluate CPU time is 4.539999999764177e-05
Evaluate CPU time is 3.399999999942338e-05
Evaluate CPU time is 3.379999999708616e-05
Evaluate CPU time is 3.459999999932961e-05
Evaluate CPU time is 3.0099999996480165e-05
Evaluate CPU time is 9.159999999752699e-05
Evaluate CPU time is 8.779999999575239e-05
Evaluate CPU time is 4.549999999881038e-05
Evaluate CPU time is 4.57000000011476e-05
Evaluate CPU time is 4.2800000002785055e-05
Evaluate CPU time is 3.2400000002041907e-05
Evaluate CPU time is 7.519999999772153e-05
Evaluate CPU time is 0.00012749999999783768
Evaluate CPU time is 7.480000000015252e-05
Evaluate CPU time is 4.289999999684824e-05
Evaluate CPU time is 4.7599999994929476e-05
Evaluate CPU time is 4.279999999567963e-05
Evaluate CPU time is 3.319999999717993e-05
Evaluate CPU time is 9.080000000238897e-05
Evaluate CPU time is 4.529999999647316e-05
Evaluate CPU time is 3.970000000208529e-05
Evaluate CPU time is 3.360000000185437e-05
Evaluate CPU time is 8.739999999818338e-05
Evaluate CPU time is 4.459999999539832e-05
Evaluate CPU time is 8.989999999897691e-05
