 Run index is 0
Evaluate CPU time is 0.00019909999999967454
Evaluate CPU time is 0.00023550000000227556
Evaluate CPU time is 0.00028700000000014825
Evaluate CPU time is 6.950000000216505e-05
Evaluate CPU time is 0.00013480000000143377
Evaluate CPU time is 0.00028670000000019513
Evaluate CPU time is 0.00028680000000136374
Evaluate CPU time is 0.00017689999999959127
Evaluate CPU time is 0.000234799999997648
Evaluate CPU time is 0.0002883000000011293
Evaluate CPU time is 0.00038590000000127134
Evaluate CPU time is 0.0003095999999978005
Evaluate CPU time is 0.000518100000000743
Evaluate CPU time is 0.00029490000000009786
Evaluate CPU time is 0.0002724999999976774
Evaluate CPU time is 0.00019739999999757174
Evaluate CPU time is 0.00045490000000114605
Evaluate CPU time is 0.0002876999999976704
Evaluate CPU time is 0.0002290000000009229
Evaluate CPU time is 0.000150600000001333
Evaluate CPU time is 0.00023490000000236932
Evaluate CPU time is 0.00024860000000259674
Evaluate CPU time is 0.0004907000000002881
Evaluate CPU time is 0.00042489999999872907
Evaluate CPU time is 0.0004910000000002412
Evaluate CPU time is 0.0005002000000011719
Evaluate CPU time is 4.759999999848219e-05
Evaluate CPU time is 0.00017650000000202226
Evaluate CPU time is 0.0003856999999989341
Evaluate CPU time is 0.0002995999999981791
Evaluate CPU time is 0.00047999999999959186
Evaluate CPU time is 0.0002808999999999173
Evaluate CPU time is 6.690000000020291e-05
Evaluate CPU time is 0.00024919999999895026
Evaluate CPU time is 0.00027979999999772076
Evaluate CPU time is 0.0007063000000009367
Evaluate CPU time is 7.379999999912457e-05
Evaluate CPU time is 0.0001773999999983289
Evaluate CPU time is 0.0005510999999991384
Evaluate CPU time is 4.369999999909169e-05
Evaluate CPU time is 4.2000000000541604e-05
Evaluate CPU time is 0.0001967999999976655
Evaluate CPU time is 0.00030259999999771026
Evaluate CPU time is 0.0002895000000009418
Evaluate CPU time is 0.00048530000000113205
Evaluate CPU time is 0.0002667999999985682
Evaluate CPU time is 0.00030269999999887887
Evaluate CPU time is 0.0004995000000000971
Evaluate CPU time is 0.0005020000000008906
Evaluate CPU time is 0.00020489999999995234
Evaluate CPU time is 0.0006055000000024791
Evaluate CPU time is 0.0004597000000003959
Evaluate CPU time is 0.0006293999999975597
Evaluate CPU time is 0.00010520000000013852
Evaluate CPU time is 0.00023529999999993834
Evaluate CPU time is 0.00022769999999994184
Evaluate CPU time is 0.00021979999999999222
Evaluate CPU time is 0.00016520000000141977
Evaluate CPU time is 0.0011638999999981081
Evaluate CPU time is 0.000703200000000237
Evaluate CPU time is 0.0001984000000021524
Evaluate CPU time is 0.00030220000000014124
Evaluate CPU time is 0.00038849999999968077
Evaluate CPU time is 0.0003869999999999152
Evaluate CPU time is 0.00028749999999888587
Evaluate CPU time is 0.00023039999999951988
Evaluate CPU time is 0.0002882999999975766
Evaluate CPU time is 0.0006260000000004595
Evaluate CPU time is 3.3699999999470265e-05
