 Run index is 0
Evaluate CPU time is 3.4900000001059084e-05
Evaluate CPU time is 9.470000000000312e-05
Evaluate CPU time is 9.919999999929985e-05
Evaluate CPU time is 1.820000000130051e-05
Evaluate CPU time is 2.95999999995189e-05
Evaluate CPU time is 5.049999999862109e-05
Evaluate CPU time is 4.999999999988347e-05
Evaluate CPU time is 3.399999999942338e-05
Evaluate CPU time is 8.249999999954127e-05
Evaluate CPU time is 5.340000000053635e-05
Evaluate CPU time is 3.4699999998721864e-05
Evaluate CPU time is 0.00014930000000035193
Evaluate CPU time is 0.00011220000000022878
Evaluate CPU time is 0.0001571000000009093
Evaluate CPU time is 5.05999999997897e-05
Evaluate CPU time is 7.560000000061962e-05
Evaluate CPU time is 8.449999999982083e-05
Evaluate CPU time is 5.0200000000444334e-05
Evaluate CPU time is 4.3599999999699435e-05
Evaluate CPU time is 5.340000000053635e-05
Evaluate CPU time is 8.249999999954127e-05
Evaluate CPU time is 4.099999999951365e-05
Evaluate CPU time is 8.249999999954127e-05
Evaluate CPU time is 6.609999999973581e-05
Evaluate CPU time is 4.350000000030718e-05
Evaluate CPU time is 4.350000000030718e-05
Evaluate CPU time is 9.939999999986071e-05
Evaluate CPU time is 6.669999999964205e-05
Evaluate CPU time is 3.5799999999142074e-05
Evaluate CPU time is 5.120000000147229e-05
Evaluate CPU time is 8.240000000014902e-05
Evaluate CPU time is 9.860000000116997e-05
Evaluate CPU time is 3.3800000000638875e-05
Evaluate CPU time is 7.72999999991697e-05
Evaluate CPU time is 9.999999999976694e-05
Evaluate CPU time is 9.939999999986071e-05
Evaluate CPU time is 3.069999999993911e-05
Evaluate CPU time is 3.390000000003113e-05
Evaluate CPU time is 4.080000000072914e-05
Evaluate CPU time is 4.949999999936949e-05
Evaluate CPU time is 4.2700000001616445e-05
Evaluate CPU time is 4.239999999988697e-05
Evaluate CPU time is 4.930000000058499e-05
Evaluate CPU time is 5.099999999913507e-05
Evaluate CPU time is 4.239999999988697e-05
Evaluate CPU time is 4.659999999923059e-05
Evaluate CPU time is 4.9100000000024124e-05
Evaluate CPU time is 4.269999999984009e-05
Evaluate CPU time is 9.179999999986421e-05
Evaluate CPU time is 5.100000000091143e-05
Evaluate CPU time is 0.00013329999999989184
Evaluate CPU time is 0.00010639999999995098
Evaluate CPU time is 0.00013340000000106045
Evaluate CPU time is 0.00010140000000014027
Evaluate CPU time is 8.270000000010214e-05
Evaluate CPU time is 4.269999999984009e-05
Evaluate CPU time is 4.120000000007451e-05
Evaluate CPU time is 8.130000000150517e-05
Evaluate CPU time is 8.230000000075677e-05
Evaluate CPU time is 9.939999999986071e-05
Evaluate CPU time is 0.00014540000000096143
Evaluate CPU time is 4.949999999936949e-05
Evaluate CPU time is 6.740000000071689e-05
Evaluate CPU time is 6.729999999954828e-05
Evaluate CPU time is 9.930000000046846e-05
Evaluate CPU time is 8.270000000010214e-05
Evaluate CPU time is 9.960000000042157e-05
Evaluate CPU time is 5.200000000016303e-05
Evaluate CPU time is 3.5399999999796705e-05
Evaluate CPU time is 3.7499999999468514e-05
Evaluate CPU time is 2.360000000045659e-05
Evaluate CPU time is 9.960000000042157e-05
Evaluate CPU time is 5.5599999999600414e-05
Evaluate CPU time is 9.92000000010762e-05
Evaluate CPU time is 4.9800000001098965e-05
Evaluate CPU time is 4.9699999999930355e-05
Evaluate CPU time is 5.05999999997897e-05
Evaluate CPU time is 3.500000000045134e-05
Evaluate CPU time is 5.139999999848044e-05
Evaluate CPU time is 4.900000000063187e-05
Evaluate CPU time is 5.089999999974282e-05
Evaluate CPU time is 6.660000000024979e-05
Evaluate CPU time is 8.270000000010214e-05
Evaluate CPU time is 9.90999999999076e-05
Evaluate CPU time is 9.840000000060911e-05
Evaluate CPU time is 4.159999999941988e-05
Evaluate CPU time is 5.0200000000444334e-05
Evaluate CPU time is 8.159999999968193e-05
Evaluate CPU time is 5.439999999978795e-05
Evaluate CPU time is 4.350000000030718e-05
Evaluate CPU time is 4.239999999988697e-05
Evaluate CPU time is 8.239999999837266e-05
Evaluate CPU time is 1.7899999999571037e-05
Evaluate CPU time is 3.530000000040445e-05
Evaluate CPU time is 5.049999999862109e-05
Evaluate CPU time is 3.5900000000310683e-05
Evaluate CPU time is 5.0299999999836587e-05
Evaluate CPU time is 4.9699999999930355e-05
Evaluate CPU time is 3.4799999999890474e-05
Evaluate CPU time is 9.900000000051534e-05
Evaluate CPU time is 8.740000000173609e-05
Evaluate CPU time is 7.559999999884326e-05
Evaluate CPU time is 9.970000000159018e-05
Evaluate CPU time is 3.120000000045309e-05
Evaluate CPU time is 2.579999999952065e-05
Evaluate CPU time is 0.00011560000000088166
Evaluate CPU time is 0.00011669999999952552
Evaluate CPU time is 8.739999999995973e-05
Evaluate CPU time is 0.00010419999999911056
Evaluate CPU time is 0.00011589999999905842
Evaluate CPU time is 6.819999999940762e-05
Evaluate CPU time is 0.00011649999999896465
Evaluate CPU time is 0.00011510000000036769
Evaluate CPU time is 0.00012340000000143903
Evaluate CPU time is 7.139999999949964e-05
Evaluate CPU time is 8.699999999883801e-05
Evaluate CPU time is 8.289999999888664e-05
Evaluate CPU time is 0.00011570000000027392
Evaluate CPU time is 8.140000000089742e-05
Evaluate CPU time is 6.419999999884851e-05
Evaluate CPU time is 0.00011139999999976169
Evaluate CPU time is 9.029999999832228e-05
Evaluate CPU time is 9.750000000074976e-05
Evaluate CPU time is 6.20999999991767e-05
Evaluate CPU time is 9.700000000023579e-05
Evaluate CPU time is 0.00010559999999948388
Evaluate CPU time is 0.0001152000000015363
Evaluate CPU time is 0.00010289999999990584
Evaluate CPU time is 6.839999999996849e-05
Evaluate CPU time is 0.00012390000000017665
Evaluate CPU time is 4.990000000049122e-05
Evaluate CPU time is 0.00011579999999966617
Evaluate CPU time is 3.500000000045134e-05
Evaluate CPU time is 8.880000000033306e-05
Evaluate CPU time is 9.969999999981383e-05
Evaluate CPU time is 0.00011649999999896465
Evaluate CPU time is 4.239999999988697e-05
Evaluate CPU time is 8.769999999991285e-05
Evaluate CPU time is 4.2600000000447835e-05
Evaluate CPU time is 0.00010220000000060736
Evaluate CPU time is 9.659999999911406e-05
Evaluate CPU time is 0.00012710000000026866
Evaluate CPU time is 0.00015070000000072525
Evaluate CPU time is 5.5200000000255045e-05
Evaluate CPU time is 5.019999999866798e-05
Evaluate CPU time is 0.0001241000000007375
Evaluate CPU time is 0.00010259999999995273
