Run index is 0
Evaluate CPU time is 0.00013790000000213354
Evaluate CPU time is 8.629999999953952e-05
Evaluate CPU time is 6.150000000104683e-05
Evaluate CPU time is 7.24000000005276e-05
Evaluate CPU time is 4.00999999996543e-05
Evaluate CPU time is 3.360000000185437e-05
Evaluate CPU time is 4.840000000072564e-05
Evaluate CPU time is 4.709999999974457e-05
Evaluate CPU time is 3.910000000217906e-05
Evaluate CPU time is 3.350000000068576e-05
Evaluate CPU time is 4.5400000001194485e-05
Evaluate CPU time is 3.949999999974807e-05
Evaluate CPU time is 4.030000000199152e-05
Evaluate CPU time is 3.7200000001291755e-05
Evaluate CPU time is 4.699999999857596e-05
Evaluate CPU time is 4.5799999998763496e-05
Evaluate CPU time is 9.090000000000487e-05
Evaluate CPU time is 4.660000000100695e-05
Evaluate CPU time is 8.840000000276405e-05
Evaluate CPU time is 9.070000000122036e-05
Evaluate CPU time is 9.040000000126724e-05
Evaluate CPU time is 8.829999999804272e-05
Evaluate CPU time is 9.239999999977044e-05
Evaluate CPU time is 9.070000000122036e-05
Evaluate CPU time is 9.239999999977044e-05
Evaluate CPU time is 9.080000000238897e-05
Evaluate CPU time is 9.049999999888314e-05
Evaluate CPU time is 8.860000000154855e-05
Evaluate CPU time is 8.920000000145478e-05
Evaluate CPU time is 7.609999999758088e-05
Evaluate CPU time is 8.449999999982083e-05
Evaluate CPU time is 8.889999999794895e-05
Evaluate CPU time is 8.850000000037994e-05
Evaluate CPU time is 4.099999999951365e-05
Evaluate CPU time is 0.00017199999999917281
Evaluate CPU time is 4.039999999960742e-05
Evaluate CPU time is 4.7999999999603915e-05
Evaluate CPU time is 4.3200000000354066e-05
Evaluate CPU time is 3.9400000002132174e-05
Evaluate CPU time is 4.299999999801685e-05
Evaluate CPU time is 4.679999999979145e-05
Evaluate CPU time is 4.2700000001616445e-05
Evaluate CPU time is 4.440000000016653e-05
Evaluate CPU time is 3.269999999844231e-05
Evaluate CPU time is 4.709999999974457e-05
Evaluate CPU time is 4.559999999997899e-05
Evaluate CPU time is 3.6500000000216914e-05
Evaluate CPU time is 3.129999999984534e-05
Evaluate CPU time is 9.080000000238897e-05
Evaluate CPU time is 9.090000000000487e-05
Evaluate CPU time is 4.5799999998763496e-05
Evaluate CPU time is 4.630000000105383e-05
Evaluate CPU time is 3.900000000101045e-05
Evaluate CPU time is 9.190000000103282e-05
Evaluate CPU time is 4.6100000002269326e-05
Evaluate CPU time is 8.479999999977395e-05
Evaluate CPU time is 9.16000000010797e-05
Evaluate CPU time is 9.719999999902029e-05
Evaluate CPU time is 9.030000000009863e-05
Evaluate CPU time is 9.049999999888314e-05
Evaluate CPU time is 7.640000000108671e-05
Evaluate CPU time is 4.510000000124137e-05
Evaluate CPU time is 9.040000000126724e-05
Evaluate CPU time is 9.14999999999111e-05
Evaluate CPU time is 9.090000000000487e-05
Evaluate CPU time is 8.500000000211116e-05
Evaluate CPU time is 7.64999999987026e-05
Evaluate CPU time is 7.369999999795596e-05
Evaluate CPU time is 7.379999999912457e-05
Evaluate CPU time is 9.060000000005175e-05
Evaluate CPU time is 9.209999999981733e-05
Evaluate CPU time is 0.0002932999999991637
Evaluate CPU time is 0.00015189999999876136
Evaluate CPU time is 0.00014620000000320488
Evaluate CPU time is 4.4800000001288254e-05
Evaluate CPU time is 8.479999999977395e-05
Evaluate CPU time is 9.220000000098594e-05
Evaluate CPU time is 9.079999999883626e-05
Evaluate CPU time is 3.729999999890765e-05
Evaluate CPU time is 0.00038990000000183045
Evaluate CPU time is 0.0002691000000005772
Evaluate CPU time is 0.00011510000000214404
Evaluate CPU time is 0.00012849999999886563
Evaluate CPU time is 0.00015520000000179834
Evaluate CPU time is 0.00013429999999914344
Evaluate CPU time is 4.410000000021341e-05
