 Run index is 0
Evaluate CPU time is 0.00019759999999990896
Evaluate CPU time is 8.809999999925822e-05
Evaluate CPU time is 0.0001356999999977404
Evaluate CPU time is 3.5100000001619946e-05
Evaluate CPU time is 0.00014209999999792444
Evaluate CPU time is 0.00010830000000083828
Evaluate CPU time is 6.69999999978188e-05
Evaluate CPU time is 9.709999999785168e-05
Evaluate CPU time is 8.76000000005206e-05
Evaluate CPU time is 0.0001125999999977978
Evaluate CPU time is 0.00011170000000149116
Evaluate CPU time is 7.04999999996403e-05
Evaluate CPU time is 0.00015199999999992997
Evaluate CPU time is 0.00020539999999868996
Evaluate CPU time is 0.00012660000000153104
Evaluate CPU time is 0.0001469999999983429
Evaluate CPU time is 6.970000000094956e-05
Evaluate CPU time is 0.00013429999999914344
Evaluate CPU time is 6.379999999950314e-05
Evaluate CPU time is 5.699999999819738e-05
Evaluate CPU time is 2.940000000251075e-05
Evaluate CPU time is 6.380000000305586e-05
Evaluate CPU time is 0.00010050000000205728
Evaluate CPU time is 0.00015360000000086416
Evaluate CPU time is 6.720000000015602e-05
Evaluate CPU time is 0.00013649999999998386
Evaluate CPU time is 0.00016889999999847305
Evaluate CPU time is 0.00011180000000265977
Evaluate CPU time is 0.00019660000000243372
Evaluate CPU time is 0.0001280999999977439
Evaluate CPU time is 0.00018180000000000973
Evaluate CPU time is 6.390000000067175e-05
Evaluate CPU time is 0.00015540000000058285
Evaluate CPU time is 0.00012110000000120635
Evaluate CPU time is 0.00016859999999851993
Evaluate CPU time is 0.00015009999999904267
Evaluate CPU time is 5.390000000105033e-05
Evaluate CPU time is 0.0001525999999998362
Evaluate CPU time is 0.00016299999999702663
Evaluate CPU time is 0.0001679999999986137
Evaluate CPU time is 0.00018910000000005311
Evaluate CPU time is 0.00020750000000191449
Evaluate CPU time is 0.00012129999999999086
Evaluate CPU time is 0.00013690000000110558
Evaluate CPU time is 5.840000000034706e-05
Evaluate CPU time is 7.779999999968368e-05
Evaluate CPU time is 0.00020280000000028053
Evaluate CPU time is 0.00012140000000115947
Evaluate CPU time is 4.3300000001522676e-05
Evaluate CPU time is 0.00017869999999930997
Evaluate CPU time is 0.00011190000000027567
Evaluate CPU time is 0.0001393999999983464
Evaluate CPU time is 6.189999999861584e-05
Evaluate CPU time is 0.00011470000000102232
Evaluate CPU time is 0.0001337999999968531
Evaluate CPU time is 5.649999999945976e-05
Evaluate CPU time is 6.839999999996849e-05
Evaluate CPU time is 8.679999999827714e-05
Evaluate CPU time is 5.1600000002594015e-05
Evaluate CPU time is 0.00018920000000122172
Evaluate CPU time is 5.689999999702877e-05
Evaluate CPU time is 7.06000000008089e-05
Evaluate CPU time is 5.189999999899442e-05
Evaluate CPU time is 0.00013690000000110558
Evaluate CPU time is 0.00011399999999994748
Evaluate CPU time is 0.0002082999999970525
Evaluate CPU time is 0.00011280000000013501
Evaluate CPU time is 0.00013679999999993697
Evaluate CPU time is 0.00019609999999659067
Evaluate CPU time is 0.00013590000000007763
Evaluate CPU time is 0.00011489999999980682
Evaluate CPU time is 2.459999999970819e-05
Evaluate CPU time is 7.06999999984248e-05
Evaluate CPU time is 6.929999999982783e-05
Evaluate CPU time is 9.92000000010762e-05
Evaluate CPU time is 3.350000000068576e-05
Evaluate CPU time is 0.00013810000000091804
Evaluate CPU time is 0.0001868000000015968
Evaluate CPU time is 0.00011100000000041632
Evaluate CPU time is 6.849999999758438e-05
Evaluate CPU time is 5.0200000000444334e-05
Evaluate CPU time is 5.839999999679435e-05
Evaluate CPU time is 5.270000000123787e-05
Evaluate CPU time is 0.00011220000000022878
Evaluate CPU time is 0.0002476000000015688
Evaluate CPU time is 5.6900000000581485e-05
Evaluate CPU time is 5.769999999927222e-05
Evaluate CPU time is 5.9000000000253294e-05
Evaluate CPU time is 0.00012249999999980332
Evaluate CPU time is 7.159999999828415e-05
Evaluate CPU time is 6.129999999870961e-05
Evaluate CPU time is 0.0002004999999982715
Evaluate CPU time is 4.2000000000541604e-05
Evaluate CPU time is 0.0001810999999989349
Evaluate CPU time is 5.610000000189075e-05
Evaluate CPU time is 3.8499999998720114e-05
Evaluate CPU time is 9.839999999883275e-05
Evaluate CPU time is 6.830000000235259e-05
Evaluate CPU time is 0.0001066000000022882
Evaluate CPU time is 6.820000000118398e-05
Evaluate CPU time is 0.00073860000000181
Evaluate CPU time is 0.0002844999999993547
Evaluate CPU time is 0.00021909999999891738
Evaluate CPU time is 0.00015489999999829251
Evaluate CPU time is 0.00038840000000206487
Evaluate CPU time is 0.00029420000000257573
Evaluate CPU time is 0.0008942000000011774
Evaluate CPU time is 0.00018289999999865358
Evaluate CPU time is 0.00013579999999890902
Evaluate CPU time is 0.00015760000000142327
Evaluate CPU time is 0.0003619000000014694
Evaluate CPU time is 0.00015549999999819875
Evaluate CPU time is 0.0004366000000004533
Evaluate CPU time is 0.00017019999999945412
Evaluate CPU time is 0.0005139999999990152
Evaluate CPU time is 0.00034770000000250434
Evaluate CPU time is 0.0003599000000029662
Evaluate CPU time is 0.0008176000000013062
Evaluate CPU time is 0.00032360000000153377
Evaluate CPU time is 0.0003238000000003183
Evaluate CPU time is 1.5000000001208491e-05
Evaluate CPU time is 0.00012319999999732545
Evaluate CPU time is 0.00012669999999914694
Evaluate CPU time is 0.00048589999999748557
Evaluate CPU time is 0.00029699999999976967
Evaluate CPU time is 0.00033280000000246446
Evaluate CPU time is 0.0002973999999973387
Evaluate CPU time is 0.00034420000000068285
Evaluate CPU time is 0.00018209999999996285
Evaluate CPU time is 0.00015179999999759275
Evaluate CPU time is 0.0001449999999998397
Evaluate CPU time is 0.0005401999999996576
Evaluate CPU time is 0.0002783999999991238
Evaluate CPU time is 0.0003621999999978698
Evaluate CPU time is 0.0002498000000024092
Evaluate CPU time is 0.00014039999999937436
Evaluate CPU time is 0.00010620000000116647
Evaluate CPU time is 0.00015180000000114546
Evaluate CPU time is 0.0003202000000008809
Evaluate CPU time is 0.00010500000000135401
Evaluate CPU time is 0.00013119999999844367
Evaluate CPU time is 0.0004847999999988417
Evaluate CPU time is 0.00035420000000030427
Evaluate CPU time is 0.00027000000000043656
Evaluate CPU time is 0.000309000000001447
Evaluate CPU time is 0.00012070000000008463
Evaluate CPU time is 0.0004249999999998977
Evaluate CPU time is 0.00031350000000074374
Evaluate CPU time is 4.230000000049472e-05
Evaluate CPU time is 9.689999999906718e-05
Evaluate CPU time is 0.0003086000000003253
Evaluate CPU time is 0.0004524000000003525
Evaluate CPU time is 0.0008425999999985834
