Run index is 0
Evaluate CPU time is 0.0011995000000055711
Evaluate CPU time is 0.001012500000001637
Evaluate CPU time is 0.001250300000002369
Evaluate CPU time is 0.0004197999999959734
Evaluate CPU time is 0.0005979000000024826
Evaluate CPU time is 0.0012662000000034368
Evaluate CPU time is 0.0019291999999992981
Evaluate CPU time is 0.0011943000000016468
Evaluate CPU time is 0.0013676000000018007
Evaluate CPU time is 0.0018679000000005885
Evaluate CPU time is 0.0012126000000023396
Evaluate CPU time is 0.0013918000000003872
Evaluate CPU time is 0.0014974999999992633
Evaluate CPU time is 0.0014288000000064471
Evaluate CPU time is 0.00028679999999781103
Evaluate CPU time is 0.0011830999999986602
Evaluate CPU time is 0.0014036999999973432
Evaluate CPU time is 0.0007755000000031487
Evaluate CPU time is 0.0011362000000048056
Evaluate CPU time is 0.0007947000000001481
Evaluate CPU time is 0.0009841999999977702
Evaluate CPU time is 0.0005188000000018178
Evaluate CPU time is 0.0012894999999986112
Evaluate CPU time is 0.001016599999999812
Evaluate CPU time is 0.001099200000005851
Evaluate CPU time is 0.0005084000000010747
Evaluate CPU time is 0.0011852000000018847
Evaluate CPU time is 0.0004812999999970202
Evaluate CPU time is 0.0011364000000000374
Evaluate CPU time is 0.001738400000000695
Evaluate CPU time is 0.001018200000004299
Evaluate CPU time is 0.0017131000000034646
Evaluate CPU time is 0.00014409999999998035
Evaluate CPU time is 0.0004935999999986507
Evaluate CPU time is 0.0006295999999963442
Evaluate CPU time is 0.0007147999999972399
Evaluate CPU time is 0.00027779999999921756
Evaluate CPU time is 0.0011252000000041562
Evaluate CPU time is 0.0011097999999947206
Evaluate CPU time is 0.002200300000005484
Evaluate CPU time is 0.0012255999999979394
Evaluate CPU time is 0.0004909999999966885
Evaluate CPU time is 0.0019477999999963913
Evaluate CPU time is 0.0010199999999969123
Evaluate CPU time is 0.0008698999999978696
Evaluate CPU time is 0.0006152999999997633
Evaluate CPU time is 0.0017844000000053484
Evaluate CPU time is 0.001789900000005673
Evaluate CPU time is 0.0012534000000030687
Evaluate CPU time is 0.00020620000000093341
Evaluate CPU time is 0.002020399999999256
Evaluate CPU time is 0.0012609999999995125
Evaluate CPU time is 0.0013738000000032002
Evaluate CPU time is 0.00043730000000152813
Evaluate CPU time is 0.0017161000000029958
Evaluate CPU time is 0.0005014999999986003
Evaluate CPU time is 0.0002078999999994835
Evaluate CPU time is 0.0004968999999945822
Evaluate CPU time is 0.0004971999999980881
Evaluate CPU time is 0.0013062000000019225
Evaluate CPU time is 0.0011640999999968926
